X,Y,LOCATION_ORIGINAL,ATE_TYPE,ATE_STATUS,OBJECTID
-77.0818080099095,38.912481400423,4400 blk Reservoir Rd NW e/b,Speed Safety Camera Enforcement Sites,Active,446
-77.0896726595929,38.9138652499267,4700 blk Reservoir Rd NW se/b,Speed Safety Camera Enforcement Sites,Active,447
-77.0350459098149,38.9074518198414,1500 blk Rhode Island Ave NE sw/b,Speed Safety Camera Enforcement Sites,Active,448
-77.0728856200327,38.92391482001,2600 blk Wisconsin Ave NW n/b,Speed Safety Camera Enforcement Sites,Active,449
-77.1094150894589,38.9325820803941,5700 blk MacArthur Blvd NW n/b,Speed Safety Camera Enforcement Sites,Active,450
-77.0913445502602,38.9414821997993,4600 blk Massachusetts Ave NW nw/b,Speed Safety Camera Enforcement Sites,Active,451
-77.0910251998791,38.9129788704534,4700 blk MacArthur Blvd NW s/b,Speed Safety Camera Enforcement Sites,Active,453
-77.0172069305439,38.9112614702551,1600 blk New Jersey Ave NW s/b,Speed Safety Camera Enforcement Sites,Active,454
-77.0160843605,38.90765894979,1300 blk New Jersey Ave NW n/b,Speed Safety Camera Enforcement Sites,Active,455
-77.0241972999104,38.9073701001079,1300 blk 9th St NW s/b,Speed Safety Camera Enforcement Sites,Active,456
-77.0184169594778,38.9293923402719,400 blk Irving St NW e/b,Speed Safety Camera Enforcement Sites,Active,462
-76.9905334303178,38.9475067500374,4800 blk S Dakota Ave NE nw/b,Speed Safety Camera Enforcement Sites,Active,463
-77.0369329898816,38.9507720196336,4900 blk 16th St NW n/b,Speed Safety Camera Enforcement Sites,Active,464
-77.0337197902702,38.9532766600145,5200 blk 14th St NW s/b,Speed Safety Camera Enforcement Sites,Active,465
-77.0152333300579,38.9700812904435,6600 blk Blair Rd NW s/b,Speed Safety Camera Enforcement Sites,Active,466
-76.9906907897003,38.9562304597759,5300 blk Eastern Ave NE se/b,Speed Safety Camera Enforcement Sites,Active,467
-77.0054989302622,38.9610350099789,5800 blk New Hampshire Ave NE sw/b,Speed Safety Camera Enforcement Sites,Active,468
-77.0061899095128,38.9274361301714,100 blk Michigan Ave NW e/b,Speed Safety Camera Enforcement Sites,Active,469
-77.0218825195071,38.959549140235,600 blk Missouri Ave NW se/b,Speed Safety Camera Enforcement Sites,Active,470
-76.9927901100033,38.9381043600565,1100 blk Michigan Ave NE w/b,Speed Safety Camera Enforcement Sites,Active,471
-77.0388851905218,38.9040484199522,1100 blk 17th St NE s/b,Speed Safety Camera Enforcement Sites,Active,472
-76.977596690154,38.9374169700171,3900 blk South Dakota Ave NE nw/b,Speed Safety Camera Enforcement Sites,Active,474
-77.0087134494717,38.9253104496619,2800 blk N Capitol St NW s/b,Speed Safety Camera Enforcement Sites,Active,475
-76.9735692500558,38.9253747199015,2200 Blk Franklin St NE w/b,Speed Safety Camera Enforcement Sites,Active,476
-76.9753980697561,38.9353058796472,3700 blk S Dakota Ave NE se/b,Speed Safety Camera Enforcement Sites,Active,477
-76.9608384097611,38.9173751095751,3300 blk New York Ave NE e/b,Speed Safety Camera Enforcement Sites,Active,479
-76.9582767405419,38.9241811897539,3200 blk Fort Lincoln Drive NE s/b,Speed Safety Camera Enforcement Sites,Active,480
-76.9956064199821,38.9123248303291,600 blk New York Ave NE e/b,Speed Safety Camera Enforcement Sites,Active,481
-76.9584895102813,38.920012639751,2200 blk South Dakota Ave NE se/b,Speed Safety Camera Enforcement Sites,Active,482
-76.9956064199821,38.9123248303291,600 blk New York Avenue NE w/b,Speed Safety Camera Enforcement Sites,Active,483
-76.95960315014,38.8669982299721,1900 blk Branch Ave SE s/b,Speed Safety Camera Enforcement Sites,Active,484
-76.9515702660672,38.8959809687042,DC295 NE AT BENNING ROAD EXIT NB,Speed Safety Camera Enforcement Sites,Active,485
-76.9420075105761,38.8677011297598,4200 blk Southern Ave SE sw/b,Speed Safety Camera Enforcement Sites,Active,488
-76.9420075105761,38.8677011297598,4200 blk Southern Ave SE ne/b,Speed Safety Camera Enforcement Sites,Active,489
-76.9287614395071,38.9077086703822,1300 blk Eastern Ave NE nw/b,Speed Safety Camera Enforcement Sites,Active,490
-76.9499343697583,38.8900726404213,3900 blk E Capitol St SE e/b,Speed Safety Camera Enforcement Sites,Active,491
-76.9449167497054,38.8900527301881,4000 blk East Capitol St NE w/b,Speed Safety Camera Enforcement Sites,Active,492
-76.9638130095739,38.8711296103977,3000 blk Pennsylvania Ave SE nw/b,Speed Safety Camera Enforcement Sites,Active,493
-76.9185949596508,38.8997638699503,800 blk Eastern Ave NE e/b,Speed Safety Camera Enforcement Sites,Active,494
-76.9523746894986,38.859657429631,3700 blk Southern Ave SE sw/b,Speed Safety Camera Enforcement Sites,Active,495
-76.9375554804774,38.9089346901469,1400 blk Kenilworth Ave NE S/B,Speed Safety Camera Enforcement Sites,Active,496
-76.95960315014,38.8669982299721,1900 blk Branch Ave SE n/b,Speed Safety Camera Enforcement Sites,Active,497
-76.9505181504687,38.8986199700204,600 blk Kenilworth Ave NE s/b,Speed Safety Camera Enforcement Sites,Active,498
-76.9432960805697,38.8777677804386,9699 - 800 blk Ridge Rd SE nw/b,Speed Safety Camera Enforcement Sites,Active,499
-76.9741502801009,38.8645256098224,2300 blk Good Hope Rd SE nw/b,Speed Safety Camera Enforcement Sites,Active,500
-76.9833026313707,38.8532976779571,Suitland Pkwy w/b @ Stanton Rd SE,Speed Safety Camera Enforcement Sites,Active,501
-76.9998069354258,38.8450896092745,Malcolm X Ave e/b @ Oakwood St SE,Speed Safety Camera Enforcement Sites,Active,502
-77.0123354998608,38.8259077895669,4400 blk MLK Jr Ave SW s/b,Speed Safety Camera Enforcement Sites,Active,503
-77.0030845805415,38.8410132496291,3400 blk MLK Jr. Ave SE sw/b,Speed Safety Camera Enforcement Sites,Active,504
-76.9930374997326,38.8402690704193,3400 blk Wheeler Road SE s/b,Speed Safety Camera Enforcement Sites,Active,505
-76.9912603803749,38.8349275700031,4000 blk Wheeler Road SE n/b,Speed Safety Camera Enforcement Sites,Active,506
-76.993550699525,38.8614429797539,2500 blk Martin Luther King Ave SE n/b,Speed Safety Camera Enforcement Sites,Active,507
-76.9772244965691,38.9097300096567,1400 blk Bladensburg Rd NE s/b,Speed Safety Camera Enforcement Sites,Active,509
-77.0036133961112,38.9230633517606,2600 blk Lincoln Rd NE n/b,Speed Safety Camera Enforcement Sites,Active,510
-77.0141689574764,38.900841117351,3rd St Tunnel NW s/b by 3rd St,Speed Safety Camera Enforcement Sites,Active,512
-77.007780068276,38.9300077931162,3000 blk N Capitol St NW s/b,Speed Safety Camera Enforcement Sites,Active,514
-77.016789281783,38.8222612237259,DC295 SW .05 mile s/o exit 1 n/b,Speed Safety Camera Enforcement Sites,Active,517
-77.1009327826458,38.929281853127,3600 blk Park Pl NW s/b,Speed Safety Camera Enforcement Sites,Active,518
-77.0194171077971,38.9342777349809,3600 blk Park Pl NW s/b,Speed Safety Camera Enforcement Sites,Active,519
-77.008920351619,38.9074041622932,New York Ave sw/b @ N Capitol St NE,Speed Safety Camera Enforcement Sites,Active,520
-77.0134041838671,38.9588132864326,5700 blk Kansas Ave NW sw/b,Speed Safety Camera Enforcement Sites,Active,523
-76.9416137398577,38.9042405862893,DC295 NE .7 miles s/o Eastern Ave s/b,Speed Safety Camera Enforcement Sites,Active,524
-76.978215104767,38.8392853835353,1900 blk Southern Ave SE ne/b,Speed Safety Camera Enforcement Sites,Active,525
