X,Y,OBJECTID,AGENCY,PROJECT_TITLE,ADDRESS,MAR_MATCHADDRESS,LABEL,YEAR,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-76.7808654785857,39.1098607611201,1,KTO,UPGRADE TO DPW FUELING SITES,,,,2011,418952.8794,160223.7234,,CapitalProjectsPt_225,{822C4C56-D5A5-4F19-860A-58A7D9968FBD},,,,
-77.0339350453623,38.9846954844791,2,DCPS,Shepard Elementary School,7800 14TH STREET NW,7800 14TH STREET NW,22,2017,397056.59,146306.33,256319,CapitalProjectsPt_508,{8092C01C-EE86-4FDE-A911-2E312354978B},,,,
-77.0339975273999,38.9846107530843,3,GA0 - DCPS,Shepherd ES Modernization/Renovation,7800 14TH STREET NW,7800 14TH STREET NW,19,2013,397054.62,146297.53,256319,CapitalProjectsPt_323,{31DF096C-20BD-4D44-AEA8-75D393879F77},,,,
-77.0339975273999,38.9846107530843,4,DPR,Shepherd Park Community Center,7800 14TH STREET NW,7800 14TH STREET NW,19,2019,397054.62,146297.53,256319,CapitalProjectsPt_630,{130F4CF9-A7C6-431C-ABB3-6EB059B7475F},,,,
-77.0339975273999,38.9846107530843,5,District of Columbia Public Schools,Shepherd Elementary School,7800 14th St. NW,7800 14th St. NW,3,2012,397054.62,146297.53,256319,CapitalProjectsPt_274,{30B9F4BA-2CF2-41FA-8024-0D870B0A9260},,,,
-77.0339975273999,38.9846107530843,6,DPR,Shepherd Park Community Center,7800 14TH STREET NW,7800 14TH STREET NW,18,2018,397054.62,146297.53,256319,CapitalProjectsPt_573,{EBFAE4CB-EBE2-4E2D-B9C5-BB0D5411F863},,,,
-77.0339975273999,38.9846107530843,7,,PHASE 1,7800 14TH STREET NW,7800 14TH STREET NW,,2010,397054.6195,146297.53,256319,CapitalProjectsPt_81,{3305CB81-6ACB-4556-BFB9-A11CB8B5C58F},,,,
-77.0339975273999,38.9846107530843,8,DCPS,Shepherd ES,7800 14th Street NW,7800 14TH STREET NW,19,2014,397054.62,146297.53,256319,CapitalProjectsPt_386,{276414DC-24A5-4507-8204-E0033A71E4E6},,,,
-77.0270377456807,38.9802883540681,9,DPR,Juanita E. Thornton / Shepherd Park Library,7420 Georgia Ave. NW,7420 GEORGIA AVENUE NW,8,2015,397657.48,145817.5,253522,CapitalProjectsPt_142,{82023011-D8D7-4F5C-9EAB-BCECD0AF2C9F},,,,
-77.0329697943864,38.978032163654,10,DMPED,Children's National,ALASKA AVENUE NW AND FERN STREET NW,ALASKA AVENUE NW AND FERN STREET NW,1,2020,397143.3999953,145567.21002052,901640,CapitalProjectsPt_664,{6DC1D4FB-6DD7-4A6B-99C9-586E5B222ACB},,,,
-77.0329697943864,38.978032163654,11,DMPED,Children's National,Alaska Ave NW & Fern St NW,ALASKA AVENUE NW AND FERN STREET NW,1,2021,397143.3999953,145567.21002052,901640,CapitalProjectsPt_734,{41D63C2D-6305-4FCD-ACDB-B768C86E6AE2},,,,
-77.0329697943864,38.978032163654,12,DMPED,Children's National,ALASKA AVENUE NW AND FERN STREET NW,ALASKA AVENUE NW AND FERN STREET NW,2,2019,397143.3999953,145567.21002052,901640,CapitalProjectsPt_655,{8AACAD0C-16C3-4C16-806F-60D52BCB82F1},,,,
-77.0288522533334,38.9765894132485,13,DMPED,Walter Reed Redevelopment,6900 GEORGIA AVENUE NW,6900 GEORGIA AVENUE NW,6,2017,397500.13,145406.93,292768,CapitalProjectsPt_491,{F00DEEB5-9147-4C22-BF02-6BBF650F6ACB},,,,
-77.0288522533334,38.9765894132485,14,DMPED,Walter Reed Redevelopment,6900 GEORGIA AVENUE NW,6900 GEORGIA AVENUE NW,3,2016,397500.13,145406.93,292768,CapitalProjectsPt_459,{8363C9CE-5CEC-49F9-A075-6A9F37C4E9EF},,,,
